Date,Sales
2020-01-01,60.0337279715629
2020-01-02,111.97733886635689
2020-01-03,161.21187612771593
2020-01-04,205.7049948942182
2020-01-05,253.2217949872175
2020-01-06,296.6006264836277
2020-01-07,350.26265457804857
2020-01-08,413.6797575883651
2020-01-09,482.5569805401816
2020-01-10,543.1459479583674
2020-01-11,587.0896397388713
2020-01-12,633.7591666868425
2020-01-13,685.1781854971687
2020-01-14,741.6642565016944
2020-01-15,799.0523693146546
2020-01-16,863.261700437128
2020-01-17,921.208298348354
2020-01-18,987.013533182157
2020-01-19,1054.7267206423355
2020-01-20,1124.4689603433944
2020-01-21,1183.0825913739989
2020-01-22,1227.681153878304
2020-01-23,1261.3113926833817
2020-01-24,1320.5299863374432
2020-01-25,1374.3672212197218
2020-01-26,1427.1359078956575
2020-01-27,1458.9936612531694
2020-01-28,1497.0622887575469
2020-01-29,1531.8278370791518
2020-01-30,1592.6387860668333
2020-01-31,1626.7989962811405
2020-02-01,1676.5261599716162
2020-02-02,1732.9204148009862
2020-02-03,1770.7009649149115
2020-02-04,1820.7474361552313
2020-02-05,1874.7008368297893
2020-02-06,1905.8573191485875
2020-02-07,1938.3008545043272
2020-02-08,1970.3025795509043
2020-02-09,2019.824491507083
2020-02-10,2091.681708216925
2020-02-11,2145.7763671245466
2020-02-12,2202.855339766901
2020-02-13,2241.469466613758
2020-02-14,2274.3529661424213
2020-02-15,2321.547939599885
2020-02-16,2357.836534398054
2020-02-17,2398.7652339521633
2020-02-18,2443.026235413776
2020-02-19,2490.7829650410404
2020-02-20,2522.46422514251
2020-02-21,2557.9592397260403
2020-02-22,2613.897409585294
2020-02-23,2674.5902693795374
2020-02-24,2739.8364643286927
2020-02-25,2807.9521254253686
2020-02-26,2853.842657816899
2020-02-27,2920.1661831174883
2020-02-28,2978.2280741478367
2020-02-29,3036.0772663854345
2020-03-01,3080.1675053629046
2020-03-02,3131.7551874836545
2020-03-03,3180.824770887878
2020-03-04,3233.1035930302396
2020-03-05,3290.214324555354
2020-03-06,3327.6087927418935
2020-03-07,3383.907516002787
2020-03-08,3440.003142645772
2020-03-09,3484.466561428539
2020-03-10,3533.4508206879495
2020-03-11,3595.9803674501554
2020-03-12,3655.663815490559
2020-03-13,3693.799472692634
2020-03-14,3735.101505986887
2020-03-15,3790.4050518307154
2020-03-16,3847.116996332184
2020-03-17,3893.892655016024
2020-03-18,3945.5591291502296
2020-03-19,3992.7195824814426
2020-03-20,4038.617454409755
2020-03-21,4099.426947132379
2020-03-22,4137.9570096111365
2020-03-23,4181.140487049663
2020-03-24,4226.255746939267
2020-03-25,4271.614372902238
2020-03-26,4313.895775254782
2020-03-27,4366.388199376268
2020-03-28,4418.806150957206
2020-03-29,4479.895045454057
2020-03-30,4535.804605633996
2020-03-31,4577.64547150547
2020-04-01,4614.146425662849
2020-04-02,4660.636281317423
2020-04-03,4721.7041807206
2020-04-04,4788.979124973083
2020-04-05,4839.3125368629935
2020-04-06,4883.829681689051
2020-04-07,4942.667959500492
2020-04-08,4993.336070680613
2020-04-09,5026.971177277468
2020-04-10,5055.573176401214
2020-04-11,5117.032234641154
2020-04-12,5170.953174522062
2020-04-13,5224.105591478069
2020-04-14,5303.90010392011
2020-04-15,5346.3200740256
2020-04-16,5402.0173091604465
2020-04-17,5436.647560716974
2020-04-18,5475.915442978076
2020-04-19,5528.769162221098
2020-04-20,5586.285412380607
2020-04-21,5628.414626692829
2020-04-22,5684.097072667688
2020-04-23,5723.562592557366
2020-04-24,5771.760011223274
2020-04-25,5816.723756354523
2020-04-26,5879.182313439684
2020-04-27,5940.137213545936
2020-04-28,6002.0957901012025
2020-04-29,6054.043263697125
2020-04-30,6098.107207148665
2020-05-01,6128.432031995908
2020-05-02,6174.79403716184
2020-05-03,6231.685921011474
2020-05-04,6275.554601647807
2020-05-05,6329.394164750297
2020-05-06,6385.327476052089
2020-05-07,6427.864968475109
2020-05-08,6475.710778628827
2020-05-09,6540.496008974502
2020-05-10,6578.000978836107
2020-05-11,6629.666089547708
2020-05-12,6685.193420817314
2020-05-13,6736.745732383289
2020-05-14,6787.250298538535
2020-05-15,6824.005381879112
2020-05-16,6870.053132332903
2020-05-17,6933.211169514564
2020-05-18,6989.474675366692
2020-05-19,7043.317141140161
2020-05-20,7098.972704649472
2020-05-21,7156.907827466409
2020-05-22,7201.706785585716
2020-05-23,7248.849086383287
2020-05-24,7288.590797630994
2020-05-25,7344.2782636405955
2020-05-26,7401.023529501044
2020-05-27,7454.082317785715
2020-05-28,7516.134994433939
2020-05-29,7561.574186871146
2020-05-30,7612.3765741461475
2020-05-31,7673.938988443295
2020-06-01,7708.1563279751435
2020-06-02,7754.959862497022
2020-06-03,7810.274145900499
2020-06-04,7868.724969808511
2020-06-05,7918.870443692741
2020-06-06,7975.77835848057
2020-06-07,8032.524827461455
2020-06-08,8086.740874941506
2020-06-09,8143.340785775569
2020-06-10,8194.011655855962
2020-06-11,8245.183776637416
2020-06-12,8284.485129745884
2020-06-13,8343.631212647377
2020-06-14,8400.45071027725
2020-06-15,8455.872076403537
2020-06-16,8512.539054900699
2020-06-17,8556.82660162576
2020-06-18,8613.183985668291
2020-06-19,8662.918485636315
2020-06-20,8705.69829891542
2020-06-21,8769.875699595135
2020-06-22,8809.801494051155
2020-06-23,8873.914981831973
2020-06-24,8923.845219384077
2020-06-25,8978.840678029599
2020-06-26,9012.519162228087
2020-06-27,9053.096147476568
2020-06-28,9120.416597089303
2020-06-29,9179.81854401247
2020-06-30,9234.843572466272
2020-07-01,9286.058642960319
2020-07-02,9339.720403536869
2020-07-03,9381.450159378146
2020-07-04,9428.611585431294
2020-07-05,9475.689007188297
2020-07-06,9528.761850654662
2020-07-07,9585.944755242297
2020-07-08,9656.06316033395
2020-07-09,9708.378813375433
2020-07-10,9749.307071879166
2020-07-11,9797.253449378288
2020-07-12,9834.880290455196
2020-07-13,9881.748518166785
2020-07-14,9932.063047959335
2020-07-15,9989.166995275325
2020-07-16,10029.421081248975
2020-07-17,10064.772909502843
2020-07-18,10118.286124229167
